# Temps,Bird_ID,X,Y,Z
7.1500,1.0000,13.1874,10.0000,39.5132
7.1500,0.0000,81.5002,81.5002,28.9819
7.2000,1.0000,12.9999,10.0000,39.5451
7.2000,0.0000,82.0002,82.0002,29.0451
7.2500,1.0000,12.8124,10.0000,39.5764
7.2500,0.0000,82.5002,82.5002,29.1077
7.3000,0.0000,83.0002,83.0002,29.1697
7.3000,1.0000,12.6249,10.0000,39.6072
7.3500,1.0000,12.4374,10.0000,39.6375
7.3500,0.0000,83.5002,83.5002,29.2312
7.4000,1.0000,12.2499,10.0000,39.6672
7.4000,0.0000,84.0002,84.0002,29.2923
7.4500,1.0000,12.0624,10.0000,39.6966
7.4500,0.0000,84.5002,84.5002,29.3528
7.5000,1.0000,11.8749,10.0000,39.7255
7.5000,0.0000,85.0002,85.0002,29.4130
7.5500,1.0000,11.6874,10.0000,39.7540
7.5500,0.0000,85.5002,85.5002,29.4728
7.6000,1.0000,11.4999,10.0000,39.7822
7.6000,0.0000,86.0002,86.0002,29.5322
7.6500,1.0000,11.3124,10.0000,39.8101
7.6500,0.0000,86.5002,86.5002,29.5913
7.7000,0.0000,87.0002,87.0002,29.6502
7.7000,1.0000,11.1249,10.0000,39.8377
7.7500,1.0000,10.9374,10.0000,39.8651
7.7500,0.0000,87.5002,87.5002,29.7089
7.8000,1.0000,10.7499,10.0000,39.8923
7.8000,0.0000,88.0002,88.0002,29.7673
7.8500,1.0000,10.5624,10.0000,39.9194
7.8500,0.0000,88.5002,88.5002,29.8256
7.9000,1.0000,10.3749,10.0000,39.9463
7.9000,0.0000,89.0002,89.0002,29.8838
7.9500,0.0000,89.5002,89.5002,29.9419
7.9500,1.0000,10.1874,10.0000,39.9732
